2025-09-09 00:58:05,432 - INFO - 🔬 Starting experiment: r1c3_single_reg_2_seed_42
2025-09-09 00:58:05,432 - INFO - 📁 Experiment directory: experiments/r1c3_single_reg_2_seed_42_20250909_005805
2025-09-09 00:58:05,432 - INFO - 🎲 Random seed: 42
2025-09-09 00:58:05,432 - INFO - 🔒 Deterministic mode: True
2025-09-09 00:58:05,432 - INFO - Using device: cuda
2025-09-09 00:58:05,432 - INFO - Total GPU Memory: 25.16 GB
2025-09-09 00:58:05,448 - INFO - 🧪 Fusion: Using cross-attention dynamic fusion
2025-09-09 00:58:05,448 - INFO - 🧪 GNN Backbone: Using default GraphAttentionNetwork branch
2025-09-09 00:58:05,448 - INFO - 🎯 Task Mode: Single regression endpoint 2
2025-09-09 00:58:05,449 - INFO - Configuration saved to: experiments/r1c3_single_reg_2_seed_42_20250909_005805/checkpoints/config.json
2025-09-09 00:58:05,449 - INFO - 🚀 Using preprocessed data from: data/data/processed
2025-09-09 00:58:05,449 - INFO - Loading LMDB dataset from: data/data/processed
2025-09-09 00:58:05,965 - INFO - Number of training batches: 1139
2025-09-09 00:58:05,965 - INFO - Number of validation batches: 1139
2025-09-09 00:58:05,965 - INFO - Number of test batches: 1139
2025-09-09 00:58:05,965 - INFO - Creating ToxD4C model...
2025-09-09 00:58:06,858 - INFO - Model created successfully. Total parameters: 100,932,036
2025-09-09 00:58:06,858 - INFO - Testing model forward pass...
2025-09-09 00:58:07,360 - INFO - Test output shapes:
2025-09-09 00:58:07,360 - INFO -   classification: torch.Size([32, 0])
2025-09-09 00:58:07,360 - INFO -   classification contains NaN: False
2025-09-09 00:58:07,360 - INFO -   classification contains Inf: False
2025-09-09 00:58:07,360 - INFO -   regression: torch.Size([32, 1])
2025-09-09 00:58:07,362 - INFO -   regression contains NaN: False
2025-09-09 00:58:07,363 - INFO -   regression contains Inf: False
2025-09-09 00:58:07,363 - INFO - Model forward pass test successful!
2025-09-09 00:58:07,364 - INFO - Starting training...
2025-09-09 00:58:07,364 - INFO - 
Epoch 1/15
2025-09-09 00:58:07,649 - INFO - Batch 0/1139: Loss=1.5112, Cls=0.0000, Reg=0.0000, Con=5.0374
2025-09-09 00:58:09,680 - INFO - Batch 10/1139: Loss=1.5006, Cls=0.0000, Reg=0.0000, Con=5.0021
2025-09-09 00:58:11,715 - INFO - Batch 20/1139: Loss=1.4899, Cls=0.0000, Reg=0.0000, Con=4.9663
2025-09-09 00:58:13,800 - INFO - Batch 30/1139: Loss=1.4250, Cls=0.0000, Reg=0.0000, Con=4.7499
2025-09-09 00:58:15,739 - INFO - Batch 40/1139: Loss=1.4016, Cls=0.0000, Reg=0.0000, Con=4.6720
2025-09-09 00:58:17,748 - INFO - Batch 50/1139: Loss=1.4183, Cls=0.0000, Reg=0.0000, Con=4.7277
2025-09-09 00:58:20,023 - INFO - Batch 60/1139: Loss=1.4414, Cls=0.0000, Reg=0.0000, Con=4.8048
2025-09-09 00:58:22,002 - INFO - Batch 70/1139: Loss=1.4760, Cls=0.0000, Reg=0.0000, Con=4.9199
2025-09-09 00:58:24,087 - INFO - Batch 80/1139: Loss=1.4699, Cls=0.0000, Reg=0.0000, Con=4.8997
2025-09-09 00:58:26,154 - INFO - Batch 90/1139: Loss=1.4049, Cls=0.0000, Reg=0.0000, Con=4.6829
2025-09-09 00:58:28,177 - INFO - Batch 100/1139: Loss=1.6689, Cls=0.0000, Reg=0.0000, Con=5.5631
2025-09-09 00:58:30,220 - INFO - Batch 110/1139: Loss=3.9315, Cls=0.0000, Reg=2.5307, Con=4.6692
2025-09-09 00:58:32,426 - INFO - Batch 120/1139: Loss=8.5448, Cls=0.0000, Reg=7.1710, Con=4.5793
2025-09-09 00:58:34,516 - INFO - Batch 130/1139: Loss=1.9830, Cls=0.0000, Reg=0.5912, Con=4.6393
2025-09-09 00:58:36,582 - INFO - Batch 140/1139: Loss=1.6340, Cls=0.0000, Reg=0.0000, Con=5.4466
2025-09-09 00:58:38,588 - INFO - Batch 150/1139: Loss=4.6206, Cls=0.0000, Reg=3.1464, Con=4.9137
2025-09-09 00:58:40,679 - INFO - Batch 160/1139: Loss=13.2231, Cls=0.0000, Reg=11.5940, Con=5.4305
2025-09-09 00:58:42,753 - INFO - Batch 170/1139: Loss=1.4742, Cls=0.0000, Reg=0.0000, Con=4.9141
